ï»¿ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Tenure_Years,Tenure_Months,Total_Spend,Total_Purchases,Customer_Type,Family_Size,Campaign_Acceptance_Rate
2125,1959,Graduation,Divorced/Widowed,63033,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,66,11,9,1102.00,16,High-income,1,0.00
8180,1952,Master,Divorced/Widowed,59354,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,73,11,9,310.00,15,High-income,3,0.00
2569,1987,Graduation,Married,17323,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,38,12,10,46.00,5,Low-income,2,0.00
2114,1946,PhD,Single,82800,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,79,12,9,1315.00,26,High-income,1,40.00
9736,1980,Graduation,Married,41850,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,45,12,8,96.00,9,High-income,4,0.00
4939,1946,Graduation,Married,37760,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,79,12,11,317.00,13,Medium-income,2,0.00
6565,1949,Master,Married,76995,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,76,12,4,1782.00,26,High-income,3,20.00
2278,1985,"2n Cycle",Single,33812,1,0,2012-03-11,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,40,13,5,133.00,8,Medium-income,2,0.00
9360,1982,Graduation,Married,37040,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,43,13,0,316.00,12,Medium-income,2,0.00
5376,1979,Graduation,Married,2447,1,0,2013-06-01,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,46,12,2,1730.00,43,Low-income,3,0.00
1993,1949,PhD,Married,58607,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,76,12,8,972.00,17,High-income,3,20.00
4047,1954,PhD,Married,65324,0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,71,10,9,544.00,20,High-income,3,0.00
1409,1951,Graduation,Married,40689,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,74,12,5,444.00,20,High-income,3,0.00
7892,1969,Graduation,Single,18589,0,0,2013-02-01,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,56,12,6,75.00,8,Low-income,1,0.00
2404,1976,Graduation,Married,53359,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,49,12,2,257.00,14,High-income,4,0.00
9422,1989,Graduation,Married,38360,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,36,12,2,131.00,9,Medium-income,3,0.00
1966,1965,PhD,Married,84618,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,60,11,9,1672.00,26,High-income,2,20.00
6864,1989,Master,Divorced/Widowed,10979,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,36,11,3,30.00,8,Low-income,1,0.00
3033,1963,Master,Married,38620,0,0,2013-11-05,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,11,9,318.00,11,Medium-income,2,0.00
5710,1970,Graduation,Married,40548,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,55,12,10,120.00,9,High-income,3,20.00
7373,1952,PhD,Divorced/Widowed,46610,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,73,12,9,302.00,17,High-income,3,0.00
8755,1946,Master,Married,68657,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,79,12,6,1196.00,18,High-income,2,0.00
10738,1951,Master,Single,49389,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,74,11,11,65.00,6,High-income,3,0.00
4339,1970,PhD,Married,67353,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,55,11,7,913.00,28,High-income,3,0.00
10755,1976,"2n Cycle",Married,23718,1,0,2013-02-09,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,49,12,6,81.00,9,Medium-income,3,0.00
8595,1973,Graduation,Divorced/Widowed,42429,0,1,2014-11-02,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,52,10,9,67.00,7,High-income,2,0.00
2968,1943,PhD,Divorced/Widowed,48948,0,0,2013-01-02,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,82,12,7,902.00,24,High-income,1,20.00
8601,1980,Graduation,Married,80011,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,45,12,3,1395.00,21,High-income,3,0.00
503,1985,Master,Married,20559,1,0,2013-12-03,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,40,11,8,53.00,7,Medium-income,3,0.00
8430,1957,Graduation,Married,21994,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,68,12,8,22.00,4,Medium-income,3,0.00
2139,1975,Master,Married,7500,1,0,2013-02-10,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,50,12,6,31.00,8,Low-income,3,0.00
1371,1976,Graduation,Single,79941,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,49,11,1,984.00,16,High-income,1,0.00
9909,1996,"2n Cycle",Married,7500,0,0,2012-09-11,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,29,12,11,122.00,10,Low-income,2,0.00
7286,1968,Graduation,Married,41728,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,57,12,3,55.00,5,High-income,3,0.00
6566,1954,PhD,Married,72550,1,1,2012-08-11,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,71,13,0,1319.00,28,High-income,4,0.00
8614,1957,Graduation,Divorced/Widowed,65486,0,1,2014-12-05,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,68,10,8,507.00,17,High-income,2,0.00
4114,1964,Master,Married,79143,0,0,2012-11-08,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,61,12,9,1693.00,29,High-income,2,0.00
1331,1977,Graduation,Single,35790,1,0,2013-02-01,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,48,12,6,72.00,7,Medium-income,2,0.00
2225,1977,Graduation,Divorced/Widowed,82582,0,0,2014-07-06,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,48,11,1,1617.00,21,High-income,1,40.00
9381,1978,Graduation,Married,66373,1,1,2013-12-06,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,47,11,8,606.00,23,High-income,4,0.00
6260,1955,Master,Married,82384,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,70,12,9,1957.00,27,High-income,2,20.00
10383,1966,Graduation,Divorced/Widowed,70287,0,0,2013-02-04,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,59,12,6,1093.00,21,High-income,1,0.00
7437,1988,Graduation,Single,27938,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,37,11,3,29.00,6,Medium-income,2,0.00
8375,1968,PhD,Married,55954,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,57,11,5,518.00,19,High-income,3,0.00
6853,1982,Master,Single,75777,0,0,2013-04-07,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,43,12,4,1438.00,21,High-income,1,40.00
3076,1975,Graduation,Married,66653,1,1,2012-07-09,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,50,13,1,612.00,22,High-income,4,0.00
1012,1952,Graduation,Single,61823,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,73,12,6,884.00,24,High-income,2,0.00
6518,1951,PhD,Divorced/Widowed,67680,0,1,2013-11-06,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,74,11,9,606.00,19,High-income,2,0.00
4137,1948,Graduation,Married,70666,0,0,2013-06-12,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,77,12,2,1076.00,16,High-income,2,0.00
8082,1971,Graduation,Married,25721,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,54,12,3,34.00,5,Medium-income,3,0.00
1386,1967,Graduation,Married,32474,1,1,2014-11-05,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,58,10,9,11.00,4,Medium-income,4,0.00
9369,1979,"2n Cycle",Single,88194,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,46,11,5,1274.00,32,High-income,2,40.00
4477,1958,Graduation,Married,69096,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,67,11,10,653.00,18,High-income,3,0.00
1357,1970,Graduation,Married,74854,1,2,2013-08-04,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,55,12,0,1562.00,19,High-income,5,0.00
1402,1954,Master,Married,66991,0,0,2012-11-09,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,71,12,9,1253.00,21,High-income,2,0.00
6312,1959,Graduation,Married,65031,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,66,12,5,863.00,30,High-income,3,0.00
8132,1975,PhD,Married,60631,1,1,2013-05-04,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,50,12,3,661.00,24,High-income,4,20.00
1050,1952,Graduation,Married,28332,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,73,11,3,65.00,8,Medium-income,2,0.00
5846,1977,Graduation,Divorced/Widowed,40246,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,48,12,8,13.00,4,High-income,2,0.00
1859,1972,Master,Married,75251,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,53,12,11,1890.00,19,High-income,2,0.00
7503,1976,Graduation,Single,75825,0,0,2012-12-10,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,49,12,8,2209.00,22,High-income,1,20.00
10401,1976,"2n Cycle",Married,26326,0,0,2013-04-09,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,49,12,4,18.00,4,Medium-income,2,0.00
1618,1965,Graduation,Married,56046,0,0,2013-02-01,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,60,12,6,692.00,21,High-income,2,20.00
3332,1985,Graduation,Single,29760,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,40,12,11,165.00,12,Medium-income,2,0.00
2261,1969,Graduation,Married,26304,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,56,12,2,16.00,4,Medium-income,3,0.00
5346,1973,"2n Cycle",Married,23559,1,0,2013-03-07,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,52,12,5,79.00,9,Medium-income,3,0.00
4119,1963,Master,Married,38620,0,0,2013-11-05,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,11,9,318.00,11,Medium-income,2,0.00
535,1987,Graduation,Divorced/Widowed,81361,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,38,11,6,778.00,27,High-income,1,0.00
5268,1960,Graduation,Married,29440,1,1,2013-11-08,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,65,11,9,56.00,7,Medium-income,4,0.00
273,1970,Master,Married,36138,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,55,12,1,151.00,13,Medium-income,4,20.00
4452,1957,Graduation,Single,50388,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,68,11,2,372.00,17,High-income,2,40.00
8504,1973,Graduation,Married,79593,0,0,2014-12-05,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,52,10,8,1366.00,19,High-income,2,20.00
771,1967,Graduation,Married,54178,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,58,11,7,194.00,10,High-income,3,0.00
11178,1972,Master,Single,42394,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,53,11,5,32.00,5,High-income,2,0.00
2230,1970,PhD,Married,23626,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,55,11,3,43.00,10,Medium-income,3,0.00
7516,1983,Graduation,Married,30096,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,42,11,3,45.00,6,Medium-income,3,0.00
7247,1960,Graduation,Divorced/Widowed,47916,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,65,12,9,606.00,22,High-income,2,20.00
11100,1972,Graduation,Divorced/Widowed,51813,1,1,2013-11-04,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,53,11,9,63.00,7,High-income,3,0.00
4646,1951,"2n Cycle",Married,78497,0,0,2013-01-12,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,74,12,7,978.00,25,High-income,2,20.00
3037,1983,PhD,Married,50150,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,42,12,2,410.00,16,High-income,2,0.00
1473,1960,"2n Cycle",Single,47823,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,65,12,1,72.00,7,High-income,2,0.00
1016,1959,PhD,Single,34554,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,66,11,4,55.00,7,Medium-income,2,0.00
4518,1979,Graduation,Married,85693,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,46,12,4,1169.00,27,High-income,3,0.00
9370,1945,PhD,Married,65846,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,80,12,3,1120.00,16,High-income,2,0.00
8908,1959,Graduation,Married,87195,0,0,2014-08-05,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,66,11,0,1097.00,20,High-income,2,0.00
8373,1979,Basic,Married,24594,1,0,2013-10-12,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,46,11,10,29.00,5,Medium-income,3,0.00
7533,1964,Graduation,Married,49096,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,61,11,11,187.00,13,High-income,4,0.00
2683,1969,Graduation,Married,52413,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,56,12,6,910.00,26,High-income,4,0.00
3629,1978,Graduation,Single,38557,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,47,12,8,145.00,9,Medium-income,2,0.00
10991,1960,Master,Married,89058,0,0,2012-07-12,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,65,13,1,850.00,14,High-income,2,0.00
5077,1979,Graduation,Married,77298,0,1,2013-02-11,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,46,12,6,969.00,24,High-income,3,0.00
7431,1991,PhD,Single,68126,0,0,2012-10-11,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,34,12,10,1820.00,17,High-income,1,20.00
3267,1963,Master,Married,57288,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,62,11,2,608.00,20,High-income,3,20.00
999,1991,Graduation,Single,86037,0,0,2013-02-01,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,34,12,6,730.00,25,High-income,1,40.00
9215,1980,PhD,Married,43974,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,45,12,8,551.00,21,High-income,3,0.00
2286,1962,Graduation,Single,50785,1,1,2013-10-09,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,63,11,10,114.00,8,High-income,3,0.00
1592,1970,Graduation,Married,90765,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,55,11,7,1724.00,15,High-income,2,40.00
367,1978,"2n Cycle",Married,36550,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,47,12,6,577.00,20,Medium-income,3,0.00
5234,1967,"2n Cycle",Married,30753,1,1,2013-11-07,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,58,11,9,81.00,7,Medium-income,4,0.00
9862,1969,Graduation,Married,21918,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,56,11,9,33.00,7,Medium-income,3,0.00
9805,1953,Master,Married,56129,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,72,12,2,660.00,22,High-income,3,0.00
6205,1967,Master,Single,32557,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,58,11,6,80.00,9,Medium-income,2,0.00
8442,1985,Master,Married,19510,2,0,2013-04-09,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,40,12,4,30.00,6,Low-income,4,0.00
7386,1976,Graduation,Divorced/Widowed,30992,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,49,12,4,43.00,5,Medium-income,2,0.00
7215,1983,Graduation,Single,101970,0,0,2013-12-03,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,42,11,8,1135.00,27,High-income,1,60.00
1491,1965,"2n Cycle",Married,71488,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,60,12,6,559.00,16,High-income,2,0.00
11071,1984,Graduation,Single,79607,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,41,12,4,1923.00,16,High-income,1,0.00
3381,1953,Master,Married,54348,1,1,2014-08-06,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,72,11,0,90.00,8,High-income,4,0.00
11051,1956,PhD,Married,77376,1,1,2014-10-05,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,69,10,10,661.00,23,High-income,4,0.00
8026,1952,Graduation,Married,62998,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,73,11,10,463.00,19,High-income,3,0.00
433,1958,Master,Single,61331,1,1,2013-10-03,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,67,11,10,632.00,23,High-income,3,0.00
9597,1969,Graduation,Married,73448,0,0,2014-10-02,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,56,10,10,725.00,19,High-income,2,0.00
5290,1964,PhD,Married,41551,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,61,12,0,279.00,16,High-income,4,0.00
1685,1967,PhD,Married,62981,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,58,12,5,1482.00,23,High-income,2,20.00
5342,1976,Basic,Divorced/Widowed,9548,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,49,13,0,29.00,6,Low-income,2,0.00
9579,1959,PhD,Married,33762,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,66,12,1,106.00,9,Medium-income,5,0.00
7660,1973,PhD,Single,35860,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,52,11,3,49.00,6,Medium-income,3,20.00
1461,1965,PhD,Divorced/Widowed,36921,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,60,12,0,38.00,7,Medium-income,3,0.00
821,1992,Master,Single,92859,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,33,12,10,2077.00,22,High-income,1,0.00
11084,1976,Master,Married,65104,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,49,11,9,1053.00,17,High-income,3,0.00
8690,1962,Graduation,Married,86111,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,63,12,4,1385.00,23,High-income,2,0.00
2937,1974,PhD,Single,68352,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,51,11,11,871.00,25,High-income,2,0.00
9701,1988,Graduation,Married,41883,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,37,12,5,312.00,12,High-income,3,0.00
9949,1976,Graduation,Married,59809,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,49,12,10,877.00,15,High-income,4,0.00
10837,1975,Graduation,Married,23957,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,50,12,9,68.00,6,Medium-income,3,0.00
3120,1981,Graduation,Married,38547,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,44,11,11,22.00,4,Medium-income,3,0.00
5885,1973,"2n Cycle",Married,35688,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,52,13,0,211.00,16,Medium-income,5,0.00
4050,1966,Master,Married,49605,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,59,11,2,127.00,8,High-income,2,0.00
3830,1953,Master,Married,59354,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,72,11,4,459.00,16,High-income,4,0.00
7987,1969,Graduation,Married,65747,0,1,2014-07-03,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,56,11,1,460.00,19,High-income,3,20.00
7798,1972,"2n Cycle",Married,46344,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,53,12,8,429.00,17,High-income,3,0.00
92,1988,Graduation,Single,34176,1,0,2014-12-05,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,37,10,8,89.00,11,Medium-income,2,0.00
7055,1952,PhD,Married,61010,0,1,2012-09-10,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,73,12,11,1021.00,26,High-income,3,0.00
10240,1949,Graduation,Married,69372,0,0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,76,12,6,1381.00,21,High-income,2,40.00
3025,1958,Graduation,Single,49967,0,1,2013-08-07,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,67,12,0,306.00,15,High-income,2,0.00
9283,1978,Graduation,Single,60199,1,2,2013-12-09,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,47,11,8,18.00,4,High-income,4,0.00
9970,1977,Graduation,Married,55375,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,48,11,10,162.00,9,High-income,3,0.00
2730,1955,Graduation,Single,80317,0,0,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,70,12,0,1231.00,18,High-income,1,0.00
2795,1958,Master,Single,30523,2,1,2013-01-07,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,67,12,7,13.00,4,Medium-income,4,0.00
